# ASD-STE100 Simplified Technical English, Issue 9 (January 2025), Part 2, Dictionary.
# One line per entry, sorted by word. Fields are separated by " | ":
#
#   word (part of speech) | verdict | approved meaning | use instead
#
# The verdict is "approved" or "not approved". A dash means the field does not apply.
# For an approved word, "use instead" gives what to use for its other senses, and is a
# dash when the word carries only the one meaning. For a word that is not approved, the
# field gives the approved words to use, or the standard's guidance where it gives no
# substitute. (TN) marks a technical noun and (TV) a technical verb, which name a
# category for your own terms rather than a specific word.
#
# Look a word up with its trailing space, so the match is the entry and not a mention
# of the word somewhere else:
#
#   grep -i "^work " ste100-words.txt
reach (v) | not approved | - | GET (v), TOUCH (v), BE (v)
reactivate (v) | not approved | - | ACTIVATE (v)
READ (v) | approved | to come to know information with the eyes or electronically | -
reading (n) | not approved | - | INDICATION (n)
readjust (v) | not approved | - | ADJUST (v)
ready (adj) | not approved | - | PREPARE (v)
ready (v) | not approved | - | PREPARE (v)
real (adj) | not approved | - | AGREE (v)
REAR (adj) | approved | away from the person who looks or from a reference point | -
REAR (n) | approved | the rear part or rear surface | -
rear of (prep) | not approved | - | AFT OF, BEHIND (prep)
rearmost (adj) | not approved | - | REAR (n)
REARWARD (adv) | approved | in the direction of the rear | -
reason (n) | not approved | - | CAUSE (n), BECAUSE OF (prep)
reassemble (v) | not approved | - | ASSEMBLE (v)
rebuild (v) | not approved | - | ASSEMBLE (v)
RECEIVE (v) | approved | to get energy, material, or a signal from a different source | -
RECESS (n) | approved | an indentation in a surface | -
recess (v) | not approved | - | RECESS (n)
recharge (v) | not approved | - | CHARGE (v), FILL (v), PRESSURIZE (v)
recheck (v) | not approved | - | MEASURE (v), EXAMINE (v), CHECK (n)
reclaim (v) | not approved | - | REPAIR (v)
recleat (v) | not approved | - | ATTACH (v) (TO A CLEAT [TN])
reclose (v) | not approved | - | CLOSE (v)
recoil (v) | not approved | - | MOVE BACK, WIND (v), RECOIL (TN)
RECOMMEND (v) | approved | to advise that which is best | -
recondition (v) | not approved | - | REPAIR (v), OVERHAUL (TN)
reconstruction (n) | not approved | - | REPAIR (n), REPAIR (v)
RECORD (v) | approved | to make notes of and keep data to use subsequently; to put data on a storage medium | -
recover (v) | not approved | - | COLLECT (v)
rectify (v) | not approved | - | CORRECT (v)
recur (v) | not approved | - | OCCUR (v)
RECYCLE (v) | approved | to put a used material through a process to make it possible to use it or its components again | CYCLE (n)
reduce (v) | not approved | - | DECREASE (v)
REFER (v) | approved | to tell a person where to find information; to give information | -
reference (n) | not approved | - | REFER (v)
referenced (adj) | not approved | - | SHOW (v)
refill (v) | not approved | - | FILL (v)
refit (v) | not approved | - | INSTALL (v), REPAIR (v)
reflect (v) | not approved | - | REFLECTION (n)
REFLECTION (n) | approved | something that occurs when energy comes against a surface which sends it back | -
REFUEL (v) | approved | to supply with fuel | -
register (v) | not approved | - | SHOW (v)
regrease (v) | not approved | - | APPLY (v), MORE (adj)
REGULAR (adj) | approved | at specified or equal intervals | -
REGULARLY (adv) | approved | in a regular manner | -
regulate (v) | not approved | - | CONTROL (v), ADJUST (v)
regulation (n) | not approved | - | ADJUSTMENT (n), CONTROL (n), CONTROL (v)
reinflate (v) | not approved | - | INFLATE (v)
reinforce (v) | not approved | - | MAKE ... STRONGER
reinstall (v) | not approved | - | INSTALL (v)
reinstallation (n) | not approved | - | INSTALLATION (n)
REJECT (v) | approved | to make a decision that something is unsatisfactory | -
rejection (n) | not approved | - | REJECT (v)
relate (v) | not approved | - | RELATED (adj)
RELATED (adj) | approved | that has a relation | -
RELATION (n) | approved | the connection between two or more things caused by their functions, values, or conditions | -
relay (v) | not approved | - | SEND (v)
RELEASE (v) | approved | to make free, to let go | -
relevant (adj) | not approved | - | RELATED (adj), THEIR (adj), ITS (adj)
relieve (v) | not approved | - | RELEASE (v)
remain (v) | not approved | - | STAY (v)
REMAINING (adj) | approved | that continues to stay | -
remnant (n) | not approved | - | REMAINING (adj)
removable (adj) | not approved | - | REMOVE (v)
REMOVAL (n) | approved | a procedure which removes an object | -
REMOVE (v) | approved | to take or move something away from its initial position | -
render (v) | not approved | - | MAKE (v)
renew (v) | not approved | - | NEW (adj)
renovate (v) | not approved | - | REPAIR (v), NEW (adj)
repack (v) | not approved | - | PUT (v), FILL (v)
repaint (v) | not approved | - | PAINT (v)
REPAIR (n) | approved | the act of repairing or the result when something is repaired | -
REPAIR (v) | approved | to make an item serviceable | -
repairable (adj) | not approved | - | REPAIR (v)
repeat (v) | not approved | - | AGAIN (adv)
repeated (adj) | not approved | - | AGAIN AND AGAIN
repeatedly (adv) | not approved | - | AGAIN AND AGAIN
REPLACE (v) | approved | to remove an item and to install a new or serviceable item of the same type | -
REPLACEMENT (n) | approved | the item you install when you replace an item | -
replenish (v) | not approved | - | FILL (v), ADD (v), REFUEL (v)
REPORT (n) | approved | the information that is recorded about a subject or occurrence | -
reposition (v) | not approved | - | MOVE (v), PUT (v), SET (v)
represent (v) | not approved | - | SHOW (v)
repressurize (v) | not approved | - | PRESSURIZE (v)
request (n) | not approved | - | TELL (v), WRITE (v)
request (v) | not approved | - | TELL (v), WRITE (v)
require (v) | not approved | - | NECESSARY (adj)
reseal (v) | not approved | - | SEAL (v)
reset (v) | not approved | - | SET (v)
residual (adj) | not approved | - | REMAINING (adj)
residue (n) | not approved | - | REMAINING (adj)
RESISTANT (adj) | approved | that will help to prevent something | -
respective (adj) | not approved | - | RELATED (adj), CORRECT (adj)
respectively (adv) | not approved | - | RELATED (adj)
respond (v) | not approved | - | RESULT (n)
rest (n) | not approved | - | REMAINING (adj)
rest (v) | not approved | - | BE (v), PUT (v)
restart (v) | not approved | - | START (v)
restore (v) | not approved | - | REPAIR (v), PUT (v)
restrain (v) | not approved | - | HOLD (v), STOP (v), PREVENT (v), LIMIT (n)
restrict (v) | not approved | - | DECREASE (v), PREVENT (v), ONLY (adv), LIMIT (n)
RESULT (n) | approved | something that occurs when you do something | -
result (v) | not approved | - | CAUSE (v), RESULT (n)
resume (v) | not approved | - | START (v), CONTINUE (v)
retain (v) | not approved | - | KEEP (v)
retorque (v) | not approved | - | TORQUE (v)
retouch (v) | not approved | - | APPLY (v), PAINT (v)
RETRACT (v) | approved | to pull in(to); to move in(to) | -
retractable (adj) | not approved | - | RETRACT (v)
RETRACTION (n) | approved | the result when something retracts | -
return (n) | not approved | - | GO (v)
return (v) | not approved | - | GO (v)
reusable (adj) | not approved | - | USE (v)
reuse (v) | not approved | - | USE (v)
reveal (v) | not approved | - | SHOW (v)
reverse (adj) | not approved | - | OPPOSITE (adj)
reverse (v) | not approved | - | OPPOSITE (adj)
review (n) | not approved | - | INSPECTION (n), EXAMINE (v)
rewind (v) | not approved | - | WIND (v)
rework (v) | not approved | - | Refer to technical verbs, manufacturing processes.
rig (v) | not approved | - | ADJUST (v)
RIGHT (adj) | approved | on the east side when you look north | -
right-hand (adj) | not approved | - | RIGHT (adj)
RIGID (adj) | approved | that cannot easily bend or change shape | -
rinse (v) | not approved | - | FLUSH (v), REMOVE (v), CLEAN (v)
ripped (adj) | not approved | - | DAMAGED (adj)
rise (n) | not approved | - | INCREASE (v)
rise (v) | not approved | - | INCREASE (v)
RISK (n) | approved | the possibility that something that is dangerous occurs | -
rope off (v) | not approved | - | ROPE (TN)
rotary (adj) | not approved | - | TURN (v)
rotate (v) | not approved | - | TURN (v)
rotation (n) | not approved | - | TURN (v)
rotational (adj) | not approved | - | TURN (v)
ROUGH (adj) | approved | not smooth | -
roughen (v) | not approved | - | ROUGH (adj)
roughness (n) | not approved | - | ROUGH (adj)
round (adj) | not approved | - | CIRCULAR (adj)
ROUNDED (adj) | approved | not angular | -
route (n) | not approved | - | ROUTING (n)
route (v) | not approved | - | PUT (v), ROUTING (n)
routine (adj) | not approved | - | USUAL (adj)
ROUTING (n) | approved | the specified direction that cables, pipes, wires, and other parts of a system must go along | -
ROW (n) | approved | a number of objects in a line | -
RUB (v) | approved | to move or cause something to move with pressure and friction along a surface | -
run (v) | not approved | - | OPERATE (v)
running (adj) | not approved | - | FLUSH (v)
SAFE (adj) | approved | not dangerous, | -
SAFELY (adv) | approved | in a safe manner | -
SAFETY (n) | approved | a condition that is safe | -
SAFETY (v) | approved | to prevent accidental operation; to make sure that something does not become loose | -
safety-clip (v) | not approved | - | LOCK (v) (WITH A CLIP [TN] OR CLIPS [TN]), SAFETY (v) (WITH A CLIP [TN] OR CLIPS [TN])
safety-wire (v) | not approved | - | LOCK (v) (WITH LOCKWIRE [TN]), SAFETY (v) (WITH SAFETY WIRE [TN])
SAME (adj) | approved | agrees in all details | -
SAME (pron) | approved | agrees in all details | -
SAMPLE (n) | approved | a piece or quantity of something that you use for an inspection or test procedure to show that it has specified qualities | -
sample (v) | not approved | - | SAMPLE (n)
SATISFACTORILY (adv) | approved | in a satisfactory manner | -
SATISFACTORY (adj) | approved | agrees with all that is necessary | -
saturate (v) | not approved | - | SOAK (v)
save (v) | not approved | - | KEEP (v)
scan (v) | not approved | - | EXAMINE (v), SCAN (TN)
SCHEDULE (v) | approved | to plan something in a time or a sequence | -
scored (adj) | not approved | - | SCORE (TN)
scrap (v) | not approved | - | DISCARD (v)
scrape (v) | not approved | - | REMOVE (v) (WITH A SCRAPER [TN])
scratched (adj) | not approved | - | SCRATCH (TN)
screw (v) | not approved | - | TURN (v), ATTACH (v) (WITH A SCREW [TN] OR SCREWS [TN])
scrub (v) | not approved | - | CLEAN (v) (WITH A BRUSH [TN])
SEAL (n) | approved | something that prevents access or leaks | -
SEAL (v) | approved | to prevent access or leaks | -
search (v) | not approved | - | EXAMINE (v)
seat (v) | not approved | - | INSTALL (v), AGAINST (prep)
SECONDARY (adj) | approved | second in importance | -
secure (adj) | not approved | - | TIGHT (adj), SAFE (adj), CORRECTLY (adv)
secure (v) | not approved | - | ATTACH (v), SAFETY (v)
securely (adv) | not approved | - | CORRECTLY (adv), SAFELY (adv), TIGHT (adj)
security (n) | not approved | - | CORRECTLY (adv)
SEE (v) | approved | to know with the eyes | REFER (v), EXAMINE (v), MAKE SURE (v)
seek (v) | not approved | - | GET (v)
seepage (n) | not approved | - | LEAKAGE (n)
seized (adj) | not approved | - | CATCH (v), MOVE (v), TURN (v)
SELECT (v) | approved | to make a choice word as a synonym for | SET (v)
SELECTION (n) | approved | the action or result of choosing | -
SEMICIRCULAR (adj) | approved | that has the shape of half a circle | -
SEND (v) | approved | to cause to go | -
SENSE (v) | approved | to get an input automatically | -
SENSITIVE (adj) | approved | that can sense small changes | -
separable (adj) | not approved | - | DISASSEMBLE (v), DISCONNECT (v)
separate (adj) | not approved | - | ISOLATED (adj), DIFFERENT (adj), NOT CONNECTED, NOT ATTACHED
separate (v) | not approved | - | DISCONNECT (v), DIVIDE (v)
separately (adv) | not approved | - | INDEPENDENTLY (adv)
SEPARATION (n) | approved | the action or result of separating | -
SEQUENCE (n) | approved | the relation of items that follow one after the other in a list or the relation of steps or events that occur one after the other in time | -
serious (adj) | not approved | - | IMPORTANT (adj), DANGEROUS (adj)
serrated (adj) | not approved | - | SERRATION (n)
SERRATION (n) | approved | one or more notches or teeth as in a saw | -
serve (v) | not approved | - | Use an accurate verb.
service (v) | not approved | - | SERVICING (n)
serviceability (n) | not approved | - | SERVICEABLE (adj)
SERVICEABLE (adj) | approved | correct or satisfactory | -
SERVICING (n) | approved | the steps necessary to prepare something for operation | -
SET (n) | approved | a group of related items that you (can) use for the same purpose | -
SET (v) | approved | to put something into a given adjustment, condition, or mode | -
setting (n) | not approved | - | ADJUSTMENT (n), POSITION (n), SET (v)
settle (v) | not approved | - | COLLECT (v), STABLE (adj)
sever (v) | not approved | - | CUT (v)
several (adj) | not approved | - | SOME (adj)
severe (adj) | not approved | - | DANGEROUS (adj)
SHAKE (v) | approved | to move or cause to move quickly up and down or from side to side | -
shall (v) | not approved | - | MUST (v)
SHAPE (n) | approved | the contour of an object | -
shape (v) | not approved | - | SHAPE (n)
SHARP (adj) | approved | that can cut or make a | -
sharply (adv) | not approved | - | QUICKLY (adv), SUDDENLY (adv)
shear (v) | not approved | - | BREAK (v), CUT (v)
SHEET (n) | approved | a piece of material that is thin in relation to its length and width | -
shield (v) | not approved | - | PREVENT (v), PROTECTION (n)
shift (v) | not approved | - | MOVE (v)
SHINY (adj) | approved | that can cause a | -
SHOCK (n) | approved | the sudden effect of energy on a person or object | -
SHORT (adj) | approved | that has small length or If it is possible, be accurate. | -
shorten (v) | not approved | - | DECREASE (v)
should (v) | not approved | - | MUST (v), IF (conj)
SHOW (v) | approved | to cause to be seen; to be in view or come into view | -
shut down (v) | not approved | - | STOP (v)
SIDE (n) | approved | the specified surface or area of an object; A location or direction that has a relationship to a center or a line of division | -
sideways (adv) | not approved | - | SIDE (n)
sight (n) | not approved | - | VIEW (n)
sight (v) | not approved | - | LOOK (v)
SIGN (n) | approved | the indication of a possible condition | -
significant (adj) | not approved | - | IMPORTANT (adj)
silence (v) | not approved | - | STOP (v)
similar (adj) | not approved | - | EQUIVALENT (adj), ALMOST THE SAME
SIMULATE (v) | approved | to make a condition that is the same as one that can occur in operation | -
simultaneous (adj) | not approved | - | AT THE SAME TIME
simultaneously (adv) | not approved | - | AT THE SAME TIME
SINCE (conj) | approved | function word that shows: "from some time in the past until a later time or now" | BECAUSE (conj)
situated (adj) | not approved | - | INSTALL (v), BE (v)
situation (n) | not approved | - | CONDITION (n)
size (n) | not approved | - | DIMENSION (n)
skid (v) | not approved | - | SKID (TN)
slack (adj) | not approved | - | TENSION (TN)
slack (n) | not approved | - | TENSION (TN)
slacken (v) | not approved | - | TENSION (TN)
slackness (n) | not approved | - | TENSION (TN)
slave (v) | not approved | - | CONTROL (v)
slide (v) | not approved | - | MOVE (v)
slight (adj) | not approved | - | SMALL (adj), LIGHT (adj)
slightly (adv) | not approved | - | SMALL (adj)
slip (v) | not approved | - | MOVE (v), REMOVE (v), CAUSE TO FALL, MOVE ACCIDENTALLY
SLOPE (n) | approved | a surface that is not level | -
SLOT (n) | approved | a long opening that is not wide | -
SLOW (adj) | approved | at low speed | -
slow down (v) | not approved | - | DECREASE (v)
SLOWLY (adv) | approved | in a slow manner | -
sluggish (adj) | not approved | - | SLOW (adj)
SMALL (adj) | approved | less than average in | -
smear (v) | not approved | - | APPLY (v)
SMELL (v) | approved | to sense with the nose | -
SMOKE (n) | approved | a gas that has particles of burned material and that you can see | -
SMOKE (v) | approved | to breathe the fumes of burning material and especially tobacco | -
SMOOTH (adj) | approved | that has a; that has a constant rate of movement | -
smooth (v) | not approved | - | SMOOTH (adj)
SMOOTHLY (adv) | approved | in a smooth manner | -
snag (v) | not approved | - | CATCH (v)
snap (n) | not approved | - | CLICK (n)
snap (v) | not approved | - | MOVE QUICKLY, BREAK (v)
so (that) (conj) | not approved | - | UNTIL (prep), PREVENT (v)
SOAK (v) | approved | to put something into a liquid and keep it there until it is fully wet or soft; to stay in liquid until fully wet or soft. | -
soapy (adj) | not approved | - | SOAP (TN)
SOFT (adj) | approved | flexible, not hard | -
soften (v) | not approved | - | MAKE...SOFT
soiled (adj) | not approved | - | DIRTY (adj)
SOLID (adj) | approved | that has the properties of a solid | -
SOLID (n) | approved | material that is not a gas or a liquid | -
solidify (v) | not approved | - | SOLID (adj)
SOLUTION (n) | approved | a liquid that includes a dissolved material; the answer to a problem | -
solve (v) | not approved | - | SOLUTION (n)
SOME (adj) | approved | related to a quantity not specified | -
SOME (pron) | approved | related to a quantity not specified | -
SOMETHING (pron) | approved | a thing that is not determined or specified | -
soon (adv) | not approved | - | TIME (n)
SOUND (n) | approved | something that you can hear | -
sound (v) | not approved | - | OPERATE (v)
SOURCE (n) | approved | something that supplies energy or data; the point where something starts | -
SPACE (n) | approved | a distance, area, or volume | -
space (v) | not approved | - | DISTANCE (n)
spacing (n) | not approved | - | DISTANCE (n)
spanwise (adj) | not approved | - | SPAN (TN)
sparingly (adv) | not approved | - | QUANTITY (n)
SPARK (n) | approved | a hot, bright particle of a material that burns | -
spark (v) | not approved | - | SPARK (n)
SPEAK (v) | approved | to use a voice to make words | -
SPECIAL (adj) | approved | for a specified function | -
SPECIALLY (adv) | approved | in a special manner | -
specific (adj) | not approved | - | APPROVED (adj), SPECIFIED (adj)
specifically (adv) | not approved | - | SPECIALLY (adv)
SPECIFIED (adj) | approved | given in, identified in, or related to a specification, regulation, or procedure | -
speck (n) | not approved | - | PARTICLE (n)
speech (n) | not approved | - | VOICE (n)
SPEED (n) | approved | the rate of movement | -
SPHERICAL (adj) | approved | that has the shape of a sphere | -
SPILL (v) | approved | to accidentally flow, or cause to flow, out of a container | -
spillage (n) | not approved | - | CONTAMINATION (n), SPILL (v)
spin (v) | not approved | - | TURN ... QUICKLY
splash (v) | not approved | - | GET (v)
splined (adj) | not approved | - | SPLINE (TN)
split (adj) | not approved | - | DAMAGED (adj)
split (v) | not approved | - | DIVIDE (v), BREAK (v)
spot (n) | not approved | - | MARK (n), STAIN (TN)
spot (v) | not approved | - | FIND (v)
SPRAY (n) | approved | a jet of very small drops of liquid | -
SPRAY (v) | approved | to apply as a spray | -
spread (v) | not approved | - | APPLY (v)
spring (v) | not approved | - | MOVE (v)
spurious (adj) | not approved | - | UNWANTED (adj)
stability (n) | not approved | - | STABLE (adj)
stabilization (n) | not approved | - | STABLE (adj)
stabilize (v) | not approved | - | STABLE (adj)
STABLE (adj) | approved | that does not change or move | -
stage (n) | not approved | - | STEP (n)
stained (adj) | not approved | - | DIRTY (adj), STAIN (TN)
stamp (v) | not approved | - | PUT (v) (WITH A STAMP [TN] OR STAMPS [TN]), IDENTIFY (v) (WITH A STAMP [TN] OR STAMPS [TN])
stand (v) | not approved | - | STAY (v)
STANDARD (adj) | approved | related to equipment and procedures that are normally used | -
starboard (adj) | not approved | - | RIGHT (adj)
START (n) | approved | the beginning of a movement or operation | -
START (v) | approved | to begin a procedure, movement, or operation; to come into being, activity, or operation | -
state (n) | not approved | - | CONDITION (n)
state (v) | not approved | - | TELL (v)
station (v) | not approved | - | PUT (v)
stationary (adj) | not approved | - | STABLE (adj), STOP (v)
STAY (v) | approved | to continue to be in a location or condition | -
steadily (adv) | not approved | - | CONTINUOUSLY (adv)
steady (adj) | not approved | - | STABLE (adj)
STEP (n) | approved | a specified part of a procedure | -
stick (v) | not approved | - | ATTACH (v), FREELY (adv), CATCH (v)
sticky (adj) | not approved | - | TACKY (adj)
stiff (adj) | not approved | - | MOVE (v)
still (adv) | not approved | - | STAY (v), CONTINUE (v)
stimulate (v) | not approved | - | INCREASE (v)
stir (v) | not approved | - | MIX (v)
STOP (v) | approved | to cause the end of a procedure, movement, or an operation; to come to an end | -
store (v) | not approved | - | KEEP (v), CONTAIN (v), STORAGE (TN)
STOW (v) | approved | to move or cause to move into a specified position of storage. | -
STRAIGHT (adj) | approved | without curves or bends | -
straighten (v) | not approved | - | STRAIGHT (adj)
strain (v) | not approved | - | FILTER (TN), STRAIN (TN)
strap (v) | not approved | - | ATTACH (v) (WITH STRAPS [TN])
stress (v) | not approved | - | FORCE (TN)
strictly (adv) | not approved | - | FULLY (adv)
strike (v) | not approved | - | HIT (v)
STRIP (n) | approved | a piece of material that is long and thin, but not wide | -
strip (v) | not approved | - | REMOVE (v)
STRIPE (n) | approved | a line on a surface which is a different color | -
striped (adj) | not approved | - | STRIPE (n)
stroke (n) | not approved | - | TRAVEL (n)
STRONG (adj) | approved | with much strength, | -
STRUCTURAL (adj) | approved | related to the structure | -
STRUCTURALLY (adv) | approved | related to the structure | -
STRUCTURE (n) | approved | a construction; the arrangement of something | -
SUBASSEMBLY (n) | approved | an assembly that is a part of a larger assembly | -
submerge (v) | not approved | - | PUT (v)
submit (v) | not approved | - | SEND (v)
SUBSEQUENT (adj) | approved | following in an unspecified time or sequence Use NEXT (adj) for the first occurrence that follows immediately in time or sequence. | -
subsequent to (prep) | not approved | - | AFTER (conj)
SUBSEQUENTLY (adv) | approved | after an unspecified time Use THEN (adv) for an occurrence that follows immediately in time or sequence. | -
substance (n) | not approved | - | MATERIAL (n)
substitute (adj) | not approved | - | EQUIVALENT (adj), ALTERNATIVE (adj)
substitute (n) | not approved | - | ALTERNATIVE (n)
substitute (v) | not approved | - | REPLACE (v)
SUBTRACT (v) | approved | to take from a number or quantity | -
successful (adj) | not approved | - | CORRECT (adj), SATISFACTORY (adj)
SUCH (adj) | approved | of the same group | -
such as | not approved | - | FOR EXAMPLE
suck (v) | not approved | - | REMOVE (v) (WITH SUCTION [TN])
SUDDEN (adj) | approved | that occurs in a short time | -
SUDDENLY (adv) | approved | in a sudden manner | -
SUFFICIENT (adj) | approved | not less (or more) than necessary | -
SUFFICIENTLY (adv) | approved | not less (or more) than necessary | -
suitable (adj) | not approved | - | APPLICABLE (adj), CORRECT (adj)
suitably (adv) | not approved | - | SUFFICIENTLY (adv)
SUM (n) | approved | the result when you add | -
SUPPLY (n) | approved | something that is supplied | -
SUPPLY (v) | approved | to give something that is necessary; to make something available for use | -
support (n) | not approved | - | SUPPORT (TN), HOLD (v)
support (v) | not approved | - | HOLD (v), SUPPORT (TN)
SURE (adj) | approved | certain | -
SURFACE (n) | approved | one or more of the faces of something | -
surplus (adj) | not approved | - | UNWANTED (adj)
surrounding (adj) | not approved | - | ADJACENT (adj), AROUND (prep)
survey (v) | not approved | - | EXAMINE (v), INSPECTION (n)
suspect (adj) | not approved | - | THINK (v)
suspect (v) | not approved | - | THINK (v)
suspend (v) | not approved | - | HANG (v), STOP (v)
SWALLOW (v) | approved | to take through the mouth and esophagus into the stomach Use this word for safety instructions only. | -
swap (v) | not approved | - | INTERCHANGE (v)
sweep (v) | not approved | - | SCAN (TN)
swing (v) | not approved | - | MOVE (v), CALIBRATE (v)
switch (v) | not approved | - | SET (v)
switch off (v) | not approved | - | SET (v), STOP (v), DE-ENERGIZE (v)
switch on (v) | not approved | - | SET (v), START (v), ENERGIZE (v)
SYMBOL (n) | approved | a written sign that identifies a quantity, operation, item, or condition | -
SYMMETRICAL (adj) | approved | that has or is with symmetry | -
SYMMETRICALLY (adv) | approved | in a symmetrical manner | -
SYMPTOM (n) | approved | a sign of a condition | -
synchronize (v) | not approved | - | ADJUST (v)
SYNCHRONIZED (adj) | approved | that operates at the same time; that agrees with | -
SYSTEM (n) | approved | an assembly of related parts to do a specified operation | -
TACKY (adj) | approved | sticky when you touch it forms of this adjective | -
TAG (v) | approved | to put a tag on | -
take (v) | not approved | - | REMOVE (v), READ (v), GET (v), NECESSARY (adj)
take care (v) | not approved | - | MAKE SURE (v), OBEY (v), DO (v), CAREFUL (adj)
talk (v) | not approved | - | SPEAK (v)
TAP (v) | approved | to hit lightly and quickly | -
tape (v) | not approved | - | TAPE (TN)
TASK (n) | approved | assigned work or procedure | -
taut (adj) | not approved | - | TENSION (TN)
tear (v) | not approved | - | DAMAGE (n)
technique (n) | not approved | - | METHOD (n)
TELESCOPIC (adj) | approved | related to items that retract into each other | -
TELL (v) | approved | to give an order or supply information | -
TEMPORARILY (adv) | approved | in a temporary manner | -
TEMPORARY (adj) | approved | for a short time only, not permanent | -
tension (v) | not approved | - | TENSION (TN)
terminate (v) | not approved | - | STOP (v)
TERTIARY (adj) | approved | third in importance | -
TEST (n) | approved | the procedure where an object or system is operated to make sure that its performance and/or function is correct | -
test (v) | not approved | - | TEST (n)
THAN (conj) | approved | function word that you use with comparative adjectives or adverbs | -
THAT (conj) | approved | function word that starts a subordinate clause Refer to section 9, | -
THAT (pron) | approved | function word that shows the person or thing referred to | -
THE (art) | approved | function word: definite article | -
THEIR (adj) | approved | belonging to persons or things | -
THEM (pron) | approved | function word that shows the persons or things referred to | -
THEN (adv) | approved | immediately after in time or sequence | -
THERE (adv) | approved | in that position | -
THERE (pron) | approved | function word that starts a sentence or a subordinate clause | -
therefore (adv) | not approved | - | THUS (adv), AS A RESULT
THESE (adj) | approved | refers to specified persons or things | -
THESE (pron) | approved | function word that shows the persons or things referred to | -
THEY (pron) | approved | function word that shows the persons or things referred to | -
THICK (adj) | approved | that has a specified or | -
THICKNESS (n) | approved | the smallest of the three dimensions | -
THIN (adj) | approved | that has a small | -
thin (v) | not approved | - | LIQUID (adj)
THINK (v) | approved | to have an opinion | -
THIS (adj) | approved | refers to a specified person or thing | -
THIS (pron) | approved | function word that shows the person or thing referred to Refer to section 9, | -
thorough (adj) | not approved | - | FULL (adj)
thoroughly (adv) | not approved | - | FULLY (adv)
THOSE (pron) | approved | function word that shows the persons or things referred to | -
thread (v) | not approved | - | PUT (v), TURN (v)
threaded (adj) | not approved | - | THREAD (TN)
THROUGH (adv) | approved | function word that shows movement into one end or side and out of the other | -
THROUGH (prep) | approved | function word that shows movement into one end or side and out of the other | -
throughout (prep) | not approved | - | DURING (prep)
THRU (prep) | approved | from a point in a sequence to another | -
THUS (adv) | approved | for that reason | FOLLOW (v)
tie (v) | not approved | - | ATTACH (v)
TIGHT (adj) | approved | not free | SEAL (v), TENSION (TN)
TIGHTEN (v) | approved | to cause to be tight | -
TIGHTLY (adv) | approved | in a tight manner | -
till (conj) | not approved | - | UNTIL (conj)
TILT (v) | approved | to move at an angle or to put something at an angle between the vertical and the horizontal | -
TIME (n) | approved | a duration that you can measure; an occurrence | -
time (v) | not approved | - | TIME (n)
tip (n) | not approved | - | POINT (n)
tip (v) | not approved | - | TILT (v)
TO (prep) | approved | function word that shows: - point of arrival or time, connection, result, cause - follows is an infinitive | -
TOGETHER (adv) | approved | in one group or position | AT THE SAME TIME
TOLERANCE (n) | approved | a permitted difference from a standard | -
TOO (adv) | approved | more than is necessary or correct | -
TOOL (n) | approved | an object used to make or do something | -
TOP (adj) | approved | that is uppermost | -
TOP (n) | approved | the uppermost position | -
top off (v) | not approved | - | FILL (v), ADD (v)
TORQUE (v) | approved | to tighten to a specified torque | -
TOTAL (adj) | approved | all of | -
TOTAL (n) | approved | the full quantity | -
TOUCH (v) | approved | to be in contact | -
TOW (v) | approved | to pull something along | -
toward (prep) | not approved | - | TO (prep), DIRECTION (n)
toxic (adj) | not approved | - | POISONOUS (adj)
trace (n) | not approved | - | SIGN (n)
trace (v) | not approved | - | FIND (v)
track (v) | not approved | - | MONITOR (v)
trained (adj) | not approved | - | APPROVED (adj)
transfer (n) | not approved | - | MOVEMENT (n), SUPPLY (n)
transfer (v) | not approved | - | MOVE (v), INSTALL (v)
transition (n) | not approved | - | CHANGE (n)
TRANSMIT (v) | approved | to send energy or a signal | -
TRANSPARENT (adj) | approved | easy to see through | -
transport (v) | not approved | - | SEND (v)
trapped (adj) | not approved | - | CAUGHT (adj)
TRAVEL (n) | approved | the movement of an item | -
travel (v) | not approved | - | GO (v), MOVE (v)
treat (v) | not approved | - | APPLY (v), TOUCH (v)
trigger (v) | not approved | - | CAUSE (v), START (v)
trim (v) | not approved | - | CUT (v)
trip (v) | not approved | - | OPEN (v), RELEASE (v), CAUSE TO FALL
troubleshoot (v) | not approved | - | TROUBLESHOOTING (TN)
true (adj) | not approved | - | CORRECT (adj), AGREE (v)
TRY (v) | approved | to make an effort to do something | -
tuck (v) | not approved | - | PUT (v)
TUNE (v) | approved | to adjust equipment to the best performance | -
TURN (n) | approved | one full cycle of movement around an axis | -
TURN (v) | approved | to move or cause to move around an axis or a point | -
turn off (v) | not approved | - | SET (v), STOP (v), DE-ENERGIZE (v)
turn on (v) | not approved | - | SET (v), START (v), ENERGIZE (v)
turn over (v) | not approved | - | TURN (v)
twice (adv) | not approved | - | TWO (TN)
TWIST (v) | approved | to use a force that turns something and causes a distortion; to turn or change shape as a result of torsion | -
TYPE (n) | approved | a specified group | -
TYPICAL (adj) | approved | that has the important qualities of a group | -
unable (adj) | not approved | - | CANNOT (v)
unauthorized (adj) | not approved | - | NOT APPROVED
uncap (v) | not approved | - | REMOVE (v) (A CAP [TN] OR CAPS [TN])
